name	 | shuffle	 | elements 	| duration_ms	 | p_duration_s	 | p_duration_ns	 | memory	
-----	 | -----	 | ----- 	| -----	 | -----	 | -----	 | -----	
sort	|	|10000	|3	|	|	|	|
sort	|	|20000	|7	|	|	|	|
sort	|	|30000	|10	|	|	|	|
sort	|	|40000	|15	|	|	|	|
sort	|	|50000	|19	|	|	|	|
sort	|	|60000	|24	|	|	|	|
sort	|	|70000	|30	|	|	|	|
sort	|	|80000	|37	|	|	|	|
sort	|	|90000	|41	|	|	|	|
sort	|	|100000	|44	|	|	|	|
sort	|	|110000	|49	|	|	|	|
sort	|	|120000	|53	|	|	|	|
sort	|	|130000	|58	|	|	|	|
sort	|	|140000	|64	|	|	|	|
sort	|	|150000	|68	|	|	|	|
sort	|	|160000	|77	|	|	|	|
sort	|	|170000	|80	|	|	|	|
sort	|	|180000	|84	|	|	|	|
sort	|	|190000	|87	|	|	|	|
sort	|	|200000	|91	|	|	|	|
sort	|	|210000	|101	|	|	|	|
sort	|	|220000	|106	|	|	|	|
sort	|	|230000	|105	|	|	|	|
sort	|	|240000	|113	|	|	|	|
sort	|	|250000	|116	|	|	|	|
sort	|	|260000	|122	|	|	|	|
sort	|	|270000	|129	|	|	|	|
sort	|	|280000	|132	|	|	|	|
sort	|	|290000	|138	|	|	|	|
sort	|	|300000	|141	|	|	|	|
sort	|	|310000	|148	|	|	|	|
sort	|	|320000	|149	|	|	|	|
sort	|	|330000	|160	|	|	|	|
sort	|	|340000	|160	|	|	|	|
sort	|	|350000	|170	|	|	|	|
sort	|	|360000	|174	|	|	|	|
sort	|	|370000	|179	|	|	|	|
sort	|	|380000	|184	|	|	|	|
sort	|	|390000	|192	|	|	|	|
sort	|	|400000	|201	|	|	|	|
sort	|	|410000	|210	|	|	|	|
sort	|	|420000	|201	|	|	|	|
sort	|	|430000	|219	|	|	|	|
sort	|	|440000	|217	|	|	|	|
sort	|	|450000	|226	|	|	|	|
sort	|	|460000	|224	|	|	|	|
sort	|	|470000	|232	|	|	|	|
sort	|	|480000	|240	|	|	|	|
sort	|	|490000	|247	|	|	|	|
sort	|	|500000	|253	|	|	|	|
sort	|	|510000	|253	|	|	|	|
sort	|	|520000	|265	|	|	|	|
sort	|	|530000	|272	|	|	|	|
sort	|	|540000	|275	|	|	|	|
sort	|	|550000	|284	|	|	|	|
sort	|	|560000	|512	|	|	|	|
sort	|	|570000	|451	|	|	|	|
sort	|	|580000	|341	|	|	|	|
name	 | shuffle	 | elements 	| duration_ms	 | p_duration_s	 | p_duration_ns	 | memory	
-----	 | -----	 | ----- 	| -----	 | -----	 | -----	 | -----	
sort	|	|10000	|3	|	|	|	|
sort	|	|20000	|7	|	|	|	|
sort	|	|30000	|11	|	|	|	|
sort	|	|40000	|15	|	|	|	|
sort	|	|50000	|19	|	|	|	|
sort	|	|60000	|23	|	|	|	|
sort	|	|70000	|27	|	|	|	|
sort	|	|80000	|31	|	|	|	|
sort	|	|90000	|36	|	|	|	|
sort	|	|100000	|41	|	|	|	|
sort	|	|110000	|44	|	|	|	|
sort	|	|120000	|49	|	|	|	|
sort	|	|130000	|54	|	|	|	|
sort	|	|140000	|58	|	|	|	|
sort	|	|150000	|62	|	|	|	|
sort	|	|160000	|67	|	|	|	|
sort	|	|170000	|71	|	|	|	|
sort	|	|180000	|75	|	|	|	|
sort	|	|190000	|79	|	|	|	|
sort	|	|200000	|86	|	|	|	|
sort	|	|210000	|102	|	|	|	|
sort	|	|220000	|130	|	|	|	|
sort	|	|230000	|145	|	|	|	|
sort	|	|240000	|126	|	|	|	|
sort	|	|250000	|107	|	|	|	|
sort	|	|260000	|111	|	|	|	|
sort	|	|270000	|134	|	|	|	|
sort	|	|280000	|121	|	|	|	|
sort	|	|290000	|125	|	|	|	|
sort	|	|300000	|130	|	|	|	|
sort	|	|310000	|139	|	|	|	|
sort	|	|320000	|140	|	|	|	|
sort	|	|330000	|143	|	|	|	|
sort	|	|340000	|148	|	|	|	|
sort	|	|350000	|154	|	|	|	|
sort	|	|360000	|158	|	|	|	|
sort	|	|370000	|162	|	|	|	|
sort	|	|380000	|167	|	|	|	|
sort	|	|390000	|173	|	|	|	|
sort	|	|400000	|176	|	|	|	|
sort	|	|410000	|181	|	|	|	|
sort	|	|420000	|186	|	|	|	|
sort	|	|430000	|195	|	|	|	|
sort	|	|440000	|195	|	|	|	|
sort	|	|450000	|203	|	|	|	|
sort	|	|460000	|204	|	|	|	|
sort	|	|470000	|209	|	|	|	|
sort	|	|480000	|216	|	|	|	|
sort	|	|490000	|219	|	|	|	|
sort	|	|500000	|223	|	|	|	|
sort	|	|510000	|227	|	|	|	|
sort	|	|520000	|235	|	|	|	|
sort	|	|530000	|236	|	|	|	|
sort	|	|540000	|241	|	|	|	|
sort	|	|550000	|246	|	|	|	|
sort	|	|560000	|252	|	|	|	|
sort	|	|570000	|255	|	|	|	|
sort	|	|580000	|262	|	|	|	|
sort	|	|590000	|268	|	|	|	|
sort	|	|600000	|271	|	|	|	|
sort	|	|610000	|273	|	|	|	|
sort	|	|620000	|279	|	|	|	|
sort	|	|630000	|289	|	|	|	|
sort	|	|640000	|291	|	|	|	|
sort	|	|650000	|293	|	|	|	|
sort	|	|660000	|301	|	|	|	|
sort	|	|670000	|304	|	|	|	|
sort	|	|680000	|308	|	|	|	|
sort	|	|690000	|315	|	|	|	|
sort	|	|700000	|317	|	|	|	|
sort	|	|710000	|323	|	|	|	|
sort	|	|720000	|330	|	|	|	|
sort	|	|730000	|335	|	|	|	|
sort	|	|740000	|338	|	|	|	|
sort	|	|750000	|344	|	|	|	|
sort	|	|760000	|349	|	|	|	|
sort	|	|770000	|357	|	|	|	|
sort	|	|780000	|359	|	|	|	|
sort	|	|790000	|362	|	|	|	|
sort	|	|800000	|373	|	|	|	|
sort	|	|810000	|373	|	|	|	|
sort	|	|820000	|376	|	|	|	|
sort	|	|830000	|384	|	|	|	|
sort	|	|840000	|390	|	|	|	|
sort	|	|850000	|398	|	|	|	|
sort	|	|860000	|395	|	|	|	|
sort	|	|870000	|405	|	|	|	|
sort	|	|880000	|408	|	|	|	|
sort	|	|890000	|416	|	|	|	|
sort	|	|900000	|418	|	|	|	|
sort	|	|910000	|426	|	|	|	|
sort	|	|920000	|426	|	|	|	|
sort	|	|930000	|430	|	|	|	|
sort	|	|940000	|440	|	|	|	|
sort	|	|950000	|442	|	|	|	|
sort	|	|960000	|458	|	|	|	|
sort	|	|970000	|453	|	|	|	|
sort	|	|980000	|458	|	|	|	|
sort	|	|990000	|460	|	|	|	|
sort	|	|1000000	|468	|	|	|	|
sort	|	|1010000	|470	|	|	|	|
sort	|	|1020000	|479	|	|	|	|
sort	|	|1030000	|482	|	|	|	|
sort	|	|1040000	|493	|	|	|	|
sort	|	|1050000	|493	|	|	|	|
sort	|	|1060000	|505	|	|	|	|
sort	|	|1070000	|509	|	|	|	|
sort	|	|1080000	|510	|	|	|	|
sort	|	|1090000	|516	|	|	|	|
sort	|	|1100000	|521	|	|	|	|
sort	|	|1110000	|527	|	|	|	|
sort	|	|1120000	|531	|	|	|	|
sort	|	|1130000	|533	|	|	|	|
sort	|	|1140000	|534	|	|	|	|
sort	|	|1150000	|545	|	|	|	|
sort	|	|1160000	|561	|	|	|	|
sort	|	|1170000	|556	|	|	|	|
sort	|	|1180000	|963	|	|	|	|
sort	|	|1190000	|1404	|	|	|	|
sort	|	|1200000	|1416	|	|	|	|
sort	|	|1210000	|749	|	|	|	|
sort	|	|1220000	|574	|	|	|	|
sort	|	|1230000	|582	|	|	|	|
sort	|	|1240000	|587	|	|	|	|
sort	|	|1250000	|591	|	|	|	|
sort	|	|1260000	|595	|	|	|	|
sort	|	|1270000	|600	|	|	|	|
sort	|	|1280000	|607	|	|	|	|
sort	|	|1290000	|611	|	|	|	|
sort	|	|1300000	|624	|	|	|	|
sort	|	|1310000	|621	|	|	|	|
sort	|	|1320000	|627	|	|	|	|
sort	|	|1330000	|635	|	|	|	|
sort	|	|1340000	|646	|	|	|	|
sort	|	|1350000	|641	|	|	|	|
sort	|	|1360000	|648	|	|	|	|
sort	|	|1370000	|652	|	|	|	|
sort	|	|1380000	|658	|	|	|	|
sort	|	|1390000	|667	|	|	|	|
sort	|	|1400000	|669	|	|	|	|
sort	|	|1410000	|672	|	|	|	|
sort	|	|1420000	|681	|	|	|	|
sort	|	|1430000	|687	|	|	|	|
sort	|	|1440000	|697	|	|	|	|
sort	|	|1450000	|701	|	|	|	|
sort	|	|1460000	|697	|	|	|	|
sort	|	|1470000	|706	|	|	|	|
sort	|	|1480000	|710	|	|	|	|
sort	|	|1490000	|801	|	|	|	|
sort	|	|1500000	|748	|	|	|	|
sort	|	|1510000	|760	|	|	|	|
sort	|	|1520000	|786	|	|	|	|
sort	|	|1530000	|862	|	|	|	|
sort	|	|1540000	|945	|	|	|	|
sort	|	|1550000	|1010	|	|	|	|
sort	|	|1560000	|1088	|	|	|	|
sort	|	|1570000	|1187	|	|	|	|
sort	|	|1580000	|1266	|	|	|	|
sort	|	|1590000	|1037	|	|	|	|
sort	|	|1600000	|937	|	|	|	|
sort	|	|1610000	|966	|	|	|	|
sort	|	|1620000	|880	|	|	|	|
sort	|	|1630000	|886	|	|	|	|
sort	|	|1640000	|842	|	|	|	|
sort	|	|1650000	|852	|	|	|	|
sort	|	|1660000	|856	|	|	|	|
sort	|	|1670000	|911	|	|	|	|
sort	|	|1680000	|952	|	|	|	|
sort	|	|1690000	|889	|	|	|	|
sort	|	|1700000	|914	|	|	|	|
sort	|	|1710000	|987	|	|	|	|
